Reward_Type,Reward_Name,Alpha,Planning_Steps,Seed,Final_Env_Reward,Final_Success_Rate,Final_Illegal_Actions
base,Base Environment Reward,0.2,2,1,-13.98,1.0,0.48
base,Base Environment Reward,0.2,2,2,-29.76,0.98,0.58
base,Base Environment Reward,0.2,2,3,-18.3,1.0,0.58
base,Base Environment Reward,0.2,2,4,-18.02,1.0,0.74
base,Base Environment Reward,0.2,2,5,-23.16,1.0,0.48
base,Base Environment Reward,0.2,10,1,-17.26,1.0,0.48
base,Base Environment Reward,0.2,10,2,-22.76,1.0,0.66
base,Base Environment Reward,0.2,10,3,-20.28,1.0,0.56
base,Base Environment Reward,0.2,10,4,-31.1,1.0,0.74
base,Base Environment Reward,0.2,10,5,-18.2,1.0,0.42
base,Base Environment Reward,0.8,2,1,0.8,1.0,0.18
base,Base Environment Reward,0.8,2,2,-1.68,1.0,0.4
base,Base Environment Reward,0.8,2,3,4.28,1.0,0.06
base,Base Environment Reward,0.8,2,4,5.2,1.0,0.02
base,Base Environment Reward,0.8,2,5,5.02,1.0,0.04
base,Base Environment Reward,0.8,10,1,4.06,1.0,0.1
base,Base Environment Reward,0.8,10,2,4.78,1.0,0.06
base,Base Environment Reward,0.8,10,3,-4.36,1.0,0.28
base,Base Environment Reward,0.8,10,4,-0.26,1.0,0.14
base,Base Environment Reward,0.8,10,5,4.4,1.0,0.12
reward_4,Subgoal Safety Reward,0.2,2,1,-189.64,0.08,0.72
reward_4,Subgoal Safety Reward,0.2,2,2,-210.08,0.0,1.12
reward_4,Subgoal Safety Reward,0.2,2,3,-179.46,0.12,0.18
reward_4,Subgoal Safety Reward,0.2,2,4,-206.78,0.02,0.84
reward_4,Subgoal Safety Reward,0.2,2,5,-200.24,0.02,0.46
reward_4,Subgoal Safety Reward,0.2,10,1,-195.4,0.04,0.4
reward_4,Subgoal Safety Reward,0.2,10,2,-200.28,0.06,0.94
reward_4,Subgoal Safety Reward,0.2,10,3,-194.74,0.06,0.8
reward_4,Subgoal Safety Reward,0.2,10,4,-204.68,0.0,0.52
reward_4,Subgoal Safety Reward,0.2,10,5,-206.6,0.02,0.96
reward_4,Subgoal Safety Reward,0.8,2,1,-81.2,0.68,2.26
reward_4,Subgoal Safety Reward,0.8,2,2,-175.4,0.42,6.9
reward_4,Subgoal Safety Reward,0.8,2,3,-160.74,0.48,4.9
reward_4,Subgoal Safety Reward,0.8,2,4,-32.42,0.86,0.96
reward_4,Subgoal Safety Reward,0.8,2,5,-40.32,0.8,0.46
reward_4,Subgoal Safety Reward,0.8,10,1,-259.16,0.14,9.8
reward_4,Subgoal Safety Reward,0.8,10,2,-177.44,0.36,5.16
reward_4,Subgoal Safety Reward,0.8,10,3,-186.38,0.3,4.88
reward_4,Subgoal Safety Reward,0.8,10,4,-183.3,0.4,6.46
reward_4,Subgoal Safety Reward,0.8,10,5,-250.56,0.1,7.88
